시설명,시도,시군구,시설유형(대),시설유형(중),시설유형(소),연락처
상인실버재가노인복지센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-213-3315
가람복지센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-552-4557
삼성 튼튼재활 주간보호센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-631-8891
효언재가노인복지센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-292-9989
따스한재가노인복지센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-657-1920
대안주간보호센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-638-8088
다행복재가노인복지센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-642-2723
천사노인복지센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-655-2004
두드림재가노인복지센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-525-2325
만수무강 재가노인복지센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-635-8899
가브리엘 재가복지센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-624-6612
다정주간보호센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-635-3500
효빛재가복지센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-625-4992
대구 신세계재가노인복지센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-629-2003
굿실버주간보호센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-628-9910
대구재가노인돌봄센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-295-6070
성심재가복지센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-562-4288
고향재가복지센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-639-6555
기쁨나눔재가복지센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-284-6252
카리타스노인복지센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-635-9913
주은재가노인복지센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-637-6008
성심재활주간보호센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-241-3030
시온재가복지센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-716-9191
베데스다재가노인복지센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-286-3214
재재어르신복지센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-623-3752
더편한주간보호센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-944-8899
효경재가노인복지센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,010-8749-0997
용산주간보호센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-572-5004
햇살주간보호센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-644-9250
고운맘복지센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-635-3415
상록수기억학교,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-592-8882
굿모닝노인복지센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-568-3366
백세청춘재활주간보호센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-633-1003
우리동네재가노인복지센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-639-9998
평화노인주간복지센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-637-7005
대덕재가노인돌봄센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-625-9523
참동행재가노인복지센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-637-9811
월성재가노인돌봄센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-634-4113
대구YWCA재가노인돌봄센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-587-1968
100세재가노인복지센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-262-3363
굿실버재가노인돌봄센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-652-0272
누리재가복지센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-525-4261
늘푸른기억학교,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-561-9988
성서노인복지센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-581-5688
다온재가복지센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-523-2221
가톨릭요양센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-243-8833
사랑모아 재가노인복지센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-567-0110
상윤재가노인복지센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-214-0901
카리타스학산요양센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-634-7232
마실재가노인복지센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-626-1009
헤아림재활주간보호센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-657-2229
노리실버홈 데이케어센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-642-9990
상록수노인종합복지센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-652-6080
성서재가노인돌봄센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-716-6126
봄날재가장기요양기관,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-633-1158
휴청명실버주간보호센터,대구광역시,달서구,노인,재가노인복지시설,재가노인복지시설,053-628-0001
상록수 기억학교,대구광역시,달서구,노인,복합노인복지시설,복합노인복지시설,053-592-8882
대구달서시니어클럽,대구광역시,달서구,노인,노인일자리지원기관,노인일자리지원기관,053-626-8310
신일양로원,대구광역시,달성군,노인,노인주거복지시설,양로시설,053-768-0180
늘푸른실버타운,대구광역시,달성군,노인,노인의료복지시설,노인요양시설,053-644-9988
더나은요양원,대구광역시,달성군,노인,노인의료복지시설,노인요양시설,053-767-7100
달성상아요양원,대구광역시,달성군,노인,노인의료복지시설,노인요양시설,053-261-0808
행복한효경(노인요양시설),대구광역시,달성군,노인,노인의료복지시설,노인요양시설,053-611-3778
가족사랑요양원,대구광역시,달성군,노인,노인의료복지시설,노인요양시설,053-616-9090
한패밀리요양원,대구광역시,달성군,노인,노인의료복지시설,노인요양시설,053-760-8820
다사실버타운,대구광역시,달성군,노인,노인의료복지시설,노인요양시설,053-588-5646
마음다해실버타운,대구광역시,달성군,노인,노인의료복지시설,노인요양시설,053-617-0900
달성요양원,대구광역시,달성군,노인,노인의료복지시설,노인요양시설,053-617-9999
비슬원,대구광역시,달성군,노인,노인의료복지시설,노인요양시설,053-643-1166
대구보훈요양원,대구광역시,달성군,노인,노인의료복지시설,노인요양시설,053-606-3000
에덴동산,대구광역시,달성군,노인,노인의료복지시설,노인요양시설,053-617-7117
대구가톨릭요양원,대구광역시,달성군,노인,노인의료복지시설,노인요양시설,053-616-2141
다사랑요양원,대구광역시,달성군,노인,노인의료복지시설,노인요양시설,053-767-2619
엠허브 행복요양원,대구광역시,달성군,노인,노인의료복지시설,노인요양시설,053-716-1400
화원요양원,대구광역시,달성군,노인,노인의료복지시설,노인요양시설,053-632-8811
연광시니어타운,대구광역시,달성군,노인,노인의료복지시설,노인요양시설,053-584-0085
서재요양원,대구광역시,달성군,노인,노인의료복지시설,노인요양시설,053-587-4241
성심힐링노인요양원,대구광역시,달성군,노인,노인의료복지시설,노인요양시설,053-583-1155
한성요양원,대구광역시,달성군,노인,노인의료복지시설,노인요양시설,053-247-9988
소망요양원,대구광역시,달성군,노인,노인의료복지시설,노인요양시설,053-761-5225
신애요양원,대구광역시,달성군,노인,노인의료복지시설,노인요양시설,053-768-3180
죽곡골든라이프케어,대구광역시,달성군,노인,노인의료복지시설,노인요양시설,053-583-2646
신요양원,대구광역시,달성군,노인,노인의료복지시설,노인요양시설,053-611-7119
대한노인복지센터,대구광역시,달성군,노인,노인의료복지시설,노인요양공동생활가정,053-585-9788
대한실버타운,대구광역시,달성군,노인,노인의료복지시설,노인요양공동생활가정,053-591-6668
효자실버타운A,대구광역시,달성군,노인,노인의료복지시설,노인요양공동생활가정,053-638-0062
사랑마을 실버타운(삭제예정),대구광역시,달성군,노인,노인의료복지시설,노인요양공동생활가정,053-614-7718
나오미노인센터,대구광역시,달성군,노인,노인의료복지시설,노인요양공동생활가정,053-591-2800
솔비 효 요양원,대구광역시,달성군,노인,노인의료복지시설,노인요양공동생활가정,053)614-0675
하빈천사의집,대구광역시,달성군,노인,노인의료복지시설,노인요양공동생활가정,053-582-0501
가족사랑요양원+,대구광역시,달성군,노인,노인의료복지시설,노인요양공동생활가정,053-615-7111
마실노인복지센터,대구광역시,달성군,노인,노인의료복지시설,노인요양공동생활가정,053-611-8384
나오미행복한집,대구광역시,달성군,노인,노인의료복지시설,노인요양공동생활가정,053-591-2803
다사효실버타운,대구광역시,달성군,노인,노인의료복지시설,노인요양공동생활가정,053-588-2166
좋은이웃노인요양원,대구광역시,달성군,노인,노인의료복지시설,노인요양공동생활가정,053)617-8204
하늘과땅노인복지센터,대구광역시,달성군,노인,노인의료복지시설,노인요양공동생활가정,053-611-7070
다슬복지센터,대구광역시,달성군,노인,노인의료복지시설,노인요양공동생활가정,053-611-5562
달성군 북부노인복지관,대구광역시,달성군,노인,노인여가복지시설,노인복지관,053-593-9400
달성군노인복지관,대구광역시,달성군,노인,노인여가복지시설,노인복지관,053-617-0098
다사늘봄재가장기요양센터,대구광역시,달성군,노인,재가노인복지시설,재가노인복지시설,053-592-6920
(유)가일케어홀딩스 가일노인복지센터 화원지점,대구광역시,달성군,노인,재가노인복지시설,재가노인복지시설,053-635-0274
봄누리재가노인복지센터,대구광역시,달성군,노인,재가노인복지시설,재가노인복지시설,053-611-0080
효성노인복지센터,대구광역시,달성군,노인,재가노인복지시설,재가노인복지시설,053-617-2321
보람재가노인복지센터,대구광역시,달성군,노인,재가노인복지시설,재가노인복지시설,053-632-7982
건강행복노인복지센터,대구광역시,달성군,노인,재가노인복지시설,재가노인복지시설,053-642-8889
현풍방문요양센터,대구광역시,달성군,노인,재가노인복지시설,재가노인복지시설,053-617-3212
(주)유투케어,대구광역시,달성군,노인,재가노인복지시설,재가노인복지시설,053-611-5527
효경복지공동체,대구광역시,달성군,노인,재가노인복지시설,재가노인복지시설,053-611-3777
미소재가노인복지센터,대구광역시,달성군,노인,재가노인복지시설,재가노인복지시설,053-641-1866
수경주간보호센터,대구광역시,달성군,노인,재가노인복지시설,재가노인복지시설,053-634-6780
대구보훈요양원주간보호센터,대구광역시,달성군,노인,재가노인복지시설,재가노인복지시설,053-606-3040
해드림재가노인복지센터,대구광역시,달성군,노인,재가노인복지시설,재가노인복지시설,053-616-1433
대구광역시 지정 효경기억학교,대구광역시,달성군,노인,재가노인복지시설,재가노인복지시설,053-283-3535
정성재가노인복지센터,대구광역시,달성군,노인,재가노인복지시설,재가노인복지시설,053-615-2272
효경노인복지센터,대구광역시,달성군,노인,재가노인복지시설,재가노인복지시설,053-617-0111
따스한재가복지센터,대구광역시,달성군,노인,재가노인복지시설,재가노인복지시설,053-611-9191
달성상아재가방문요양센터,대구광역시,달성군,노인,재가노인복지시설,재가노인복지시설,053-767-1341
행복한동행노인복지센터,대구광역시,달성군,노인,재가노인복지시설,재가노인복지시설,053-591-5000
효경재가노인돌봄센터,대구광역시,달성군,노인,재가노인복지시설,재가노인복지시설,053-617-0112
에덴재가노인돌봄센터,대구광역시,달성군,노인,재가노인복지시설,재가노인복지시설,053-615-1133
좋은이웃노인복지센터,대구광역시,달성군,노인,재가노인복지시설,재가노인복지시설,053-617-8204
비슬복지용구,대구광역시,달성군,노인,재가노인복지시설,재가노인복지시설,053-710-3129
수경기억학교,대구광역시,달성군,노인,재가노인복지시설,재가노인복지시설,053-642-5900
덕수기억학교,대구광역시,달성군,노인,재가노인복지시설,재가노인복지시설,053-585-7373
시니어가든 재활주간보호센터,대구광역시,달성군,노인,재가노인복지시설,재가노인복지시설,053-617-7588
늘푸른재가노인돌봄센터,대구광역시,달성군,노인,재가노인복지시설,재가노인복지시설,053-637-9988
나눔재가노인복지센터,대구광역시,달성군,노인,재가노인복지시설,재가노인복지시설,053-617-5113
주연재가노인복지센터,대구광역시,달성군,노인,재가노인복지시설,재가노인복지시설,070-8196-5959
품은재가노인복지센터,대구광역시,달성군,노인,재가노인복지시설,재가노인복지시설,053-611-3284
한마음주간보호센터,대구광역시,달성군,노인,재가노인복지시설,재가노인복지시설,053-581-5930
미더운 재활주간보호센터 달성점,대구광역시,달성군,노인,재가노인복지시설,재가노인복지시설,053-641-9988
천수메디칼,대구광역시,달성군,노인,재가노인복지시설,재가노인복지시설,053-615-0652
다슬주간보호센터,대구광역시,달성군,노인,재가노인복지시설,재가노인복지시설,053-611-5562
수경재가노인돌봄센터,대구광역시,달성군,노인,재가노인복지시설,재가노인복지시설,053-634-2006
효경안심케어센터,대구광역시,달성군,노인,재가노인복지시설,재가노인복지시설,053-611-3779
서재 효 재활 주간보호센터,대구광역시,달성군,노인,재가노인복지시설,재가노인복지시설,053-581-1555
장금이노인복지센터,대구광역시,달성군,노인,재가노인복지시설,재가노인복지시설,053-285-4200
다온재가복지센터,대구광역시,달성군,노인,재가노인복지시설,재가노인복지시설,053-617-1215
달성시니어클럽,대구광역시,달성군,노인,노인일자리지원기관,노인일자리지원기관,053-617-9220
신안사랑마을,대구광역시,동구,노인,노인의료복지시설,노인요양시설,053-985-9937
팔공어르신요양원,대구광역시,동구,노인,노인의료복지시설,노인요양시설,053-981-0515
그린실버케어 노인요양원,대구광역시,동구,노인,노인의료복지시설,노인요양시설,053-752-2300
진명실버타운,대구광역시,동구,노인,노인의료복지시설,노인요양시설,053-742-9823
방촌요양복지센터,대구광역시,동구,노인,노인의료복지시설,노인요양시설,053-984-9600
연꽃마을 덕산요양원,대구광역시,동구,노인,노인의료복지시설,노인요양시설,053-983-3677
금강전원실버요양원,대구광역시,동구,노인,노인의료복지시설,노인요양시설,053-962-0052
다사랑실버타운,대구광역시,동구,노인,노인의료복지시설,노인요양시설,053-952-2356
진명실버홈,대구광역시,동구,노인,노인의료복지시설,노인요양시설,053-985-8850
효사랑실버타운,대구광역시,동구,노인,노인의료복지시설,노인요양시설,053-965-1067
안심성봉요양원,대구광역시,동구,노인,노인의료복지시설,노인요양시설,053-964-6300
진명해안실버타운,대구광역시,동구,노인,노인의료복지시설,노인요양시설,053-981-0783
성덕실버타운,대구광역시,동구,노인,노인의료복지시설,노인요양시설,053-983-1376
활짝요양원,대구광역시,동구,노인,노인의료복지시설,노인요양시설,053-427-8318
혁신도시우리요양원,대구광역시,동구,노인,노인의료복지시설,노인요양시설,053-962-1200
푸른실버타운,대구광역시,동구,노인,노인의료복지시설,노인요양시설,053-964-0100
열경요양원,대구광역시,동구,노인,노인의료복지시설,노인요양시설,053-981-0009
진명고향마을,대구광역시,동구,노인,노인의료복지시설,노인요양시설,053-982-8847
SOS프란치스카의집,대구광역시,동구,노인,노인의료복지시설,노인요양시설,053-986-2077
갓바위치매센터,대구광역시,동구,노인,노인의료복지시설,노인요양시설,053-986-7700
동화사 자비원,대구광역시,동구,노인,노인의료복지시설,노인요양시설,053-985-2115
한사랑실버타운,대구광역시,동구,노인,노인의료복지시설,노인요양시설,053-981-9951
크로바중앙요양원,대구광역시,동구,노인,노인의료복지시설,노인요양시설,053-753-4001
에덴실버타운,대구광역시,동구,노인,노인의료복지시설,노인요양시설,053-941-9138
마이홈노인전문요양원,대구광역시,동구,노인,노인의료복지시설,노인요양시설,053-983-0755
삼성요양원2,대구광역시,동구,노인,노인의료복지시설,노인요양공동생활가정,053-242-5119
행복한요양복지관,대구광역시,동구,노인,노인의료복지시설,노인요양공동생활가정,053-965-5988
율하요양원,대구광역시,동구,노인,노인의료복지시설,노인요양공동생활가정,053-965-0702
선우요양복지센터(2),대구광역시,동구,노인,노인의료복지시설,노인요양공동생활가정,053-961-9800
효사랑요양원2,대구광역시,동구,노인,노인의료복지시설,노인요양공동생활가정,053-985-9978
효성실버홈2,대구광역시,동구,노인,노인의료복지시설,노인요양공동생활가정,053-955-3100
뉴도울노인요양센터2,대구광역시,동구,노인,노인의료복지시설,노인요양공동생활가정,053-653-1222
삼성요양원1,대구광역시,동구,노인,노인의료복지시설,노인요양공동생활가정,053-241-2119
한마음요양원1,대구광역시,동구,노인,노인의료복지시설,노인요양공동생활가정,053-794-7800
비치요양센터,대구광역시,동구,노인,노인의료복지시설,노인요양공동생활가정,053-985-5800
한마음요양원2,대구광역시,동구,노인,노인의료복지시설,노인요양공동생활가정,053-794-7800
늘푸른노인복지센터,대구광역시,동구,노인,노인의료복지시설,노인요양공동생활가정,053-982-8100
팔공어르신요양원 동촌센터,대구광역시,동구,노인,노인의료복지시설,노인요양공동생활가정,053-985-0515
뉴도울노인요양센터1,대구광역시,동구,노인,노인의료복지시설,노인요양공동생활가정,053-286-0001
효성실버홈,대구광역시,동구,노인,노인의료복지시설,노인요양공동생활가정,053-955-3100
효사랑요양원1,대구광역시,동구,노인,노인의료복지시설,노인요양공동생활가정,053-985-9978
도평성지복지센터,대구광역시,동구,노인,노인의료복지시설,노인요양공동생활가정,053-962-5503
동구노인종합복지관,대구광역시,동구,노인,노인여가복지시설,노인복지관,053-983-9100
팔공노인복지관,대구광역시,동구,노인,노인여가복지시설,노인복지관,053-955-8081
강동어르신행복센터,대구광역시,동구,노인,노인여가복지시설,노인복지관,053-243-6671
신안재가노인돌봄센터,대구광역시,동구,노인,재가노인복지시설,재가노인복지시설,053-985-9957
진명재가노인돌봄센터,대구광역시,동구,노인,재가노인복지시설,재가노인복지시설,053-939-8888
효청원재가노인돌봄센터,대구광역시,동구,노인,재가노인복지시설,재가노인복지시설,053-751-1152
대구광역시 지정 성덕기억학교,대구광역시,동구,노인,재가노인복지시설,재가노인복지시설,053-962-5022
효인지재활전문센터,대구광역시,동구,노인,재가노인복지시설,재가노인복지시설,053-216-0909
안심노인복지센터,대구광역시,동구,노인,재가노인복지시설,재가노인복지시설,053-962-9184
동구재가노인돌봄센터,대구광역시,동구,노인,재가노인복지시설,재가노인복지시설,053-964-3111
동일재가노인복지센터,대구광역시,동구,노인,재가노인복지시설,재가노인복지시설,053-755-6011
도담방문요양센터,대구광역시,동구,노인,재가노인복지시설,재가노인복지시설,010-4931-5801
팔공보성복지센터,대구광역시,동구,노인,재가노인복지시설,재가노인복지시설,053-981-9963
감천재가노인돌봄센터,대구광역시,동구,노인,재가노인복지시설,재가노인복지시설,053-986-7708
성덕재가노인돌봄센터,대구광역시,동구,노인,재가노인복지시설,재가노인복지시설,053-567-9920
(신)효경노인요양센터,대구광역시,동구,노인,재가노인복지시설,재가노인복지시설,053-754-1180
진명재가노인복지센터,대구광역시,동구,노인,재가노인복지시설,재가노인복지시설,053-742-9823
진명해안노인복지센터,대구광역시,동구,노인,재가노인복지시설,재가노인복지시설,053-981-0783
대구광역시 지정 진명기억학교,대구광역시,동구,노인,재가노인복지시설,재가노인복지시설,053-956-8885
진명다움,대구광역시,동구,노인,재가노인복지시설,재가노인복지시설,053-951-5115
사회복지법인 진명복지재단,대구광역시,동구,노인,복합노인복지시설,복합노인복지시설,053-956-8885
진명푸드뱅크,대구광역시,동구,노인,복합노인복지시설,복합노인복지시설,053-746-1377
대구동구시니어클럽,대구광역시,동구,노인,노인일자리지원기관,노인일자리지원기관,053-959-2277
복음양로원,대구광역시,북구,노인,노인주거복지시설,양로시설,053-321-0129
희연실버타운,대구광역시,북구,노인,노인의료복지시설,노인요양시설,053-359-0001
할렐루야천사의집,대구광역시,북구,노인,노인의료복지시설,노인요양시설,053-951-2551
강북실버타운,대구광역시,북구,노인,노인의료복지시설,노인요양시설,053-322-8801
신세계실버타운,대구광역시,북구,노인,노인의료복지시설,노인요양시설,053-312-1003
장원요양원2,대구광역시,북구,노인,노인의료복지시설,노인요양시설,053-477-7770
새볕실버빌,대구광역시,북구,노인,노인의료복지시설,노인요양시설,053-314-0800
스마일요양원,대구광역시,북구,노인,노인의료복지시설,노인요양시설,053-353-9988
+마실요양원,대구광역시,북구,노인,노인의료복지시설,노인요양시설,053-242-4939
성림효사랑실버타운,대구광역시,북구,노인,노인의료복지시설,노인요양시설,053-958-8884
호산실버타운,대구광역시,북구,노인,노인의료복지시설,노인요양시설,053-322-0100
연세숲속요양원,대구광역시,북구,노인,노인의료복지시설,노인요양시설,053-716-7888
e-편한요양센터,대구광역시,북구,노인,노인의료복지시설,노인요양시설,053-741-8899
대경장기요양기관,대구광역시,북구,노인,노인의료복지시설,노인요양시설,053-325-5979
장원요양원,대구광역시,북구,노인,노인의료복지시설,노인요양시설,053-982-4470
천유원실버타운,대구광역시,북구,노인,노인의료복지시설,노인요양시설,053-718-1500
복음실버타운,대구광역시,북구,노인,노인의료복지시설,노인요양시설,053-323-9343
대구케어요양원,대구광역시,북구,노인,노인의료복지시설,노인요양시설,053-341-3526
행복한백세요양원,대구광역시,북구,노인,노인의료복지시설,노인요양시설,053-353-0688
파티마홈,대구광역시,북구,노인,노인의료복지시설,노인요양시설,053-324-1188
효성실버타운,대구광역시,북구,노인,노인의료복지시설,노인요양시설,053-327-0003
대구탑노인전문요양원,대구광역시,북구,노인,노인의료복지시설,노인요양시설,053-323-9988
강북요양원,대구광역시,북구,노인,노인의료복지시설,노인요양시설,053-314-0690
늘봄요양원,대구광역시,북구,노인,노인의료복지시설,노인요양시설,053-353-1188
행복요양원,대구광역시,북구,노인,노인의료복지시설,노인요양시설,053-355-7232
일심노인복지센터,대구광역시,북구,노인,노인의료복지시설,노인요양시설,053-313-5300
주식회사 새소망노인복지센터,대구광역시,북구,노인,노인의료복지시설,노인요양공동생활가정,053-941-4470
미래효요양원,대구광역시,북구,노인,노인의료복지시설,노인요양공동생활가정,053-314-0006
e-햇살복지센터,대구광역시,북구,노인,노인의료복지시설,노인요양공동생활가정,053-313-1136
효신노인복지센터,대구광역시,북구,노인,노인의료복지시설,노인요양공동생활가정,010-4516-6505
신한솔요양원1,대구광역시,북구,노인,노인의료복지시설,노인요양공동생활가정,053-341-8033
미래효요양원2,대구광역시,북구,노인,노인의료복지시설,노인요양공동생활가정,053-314-0006
예가치매전문센터 주식회사,대구광역시,북구,노인,노인의료복지시설,노인요양공동생활가정,053-321-5804
한성노인복지센터,대구광역시,북구,노인,노인의료복지시설,노인요양공동생활가정,053-252-8776
(주)가호노인복지센터,대구광역시,북구,노인,노인의료복지시설,노인요양공동생활가정,053-219-4470
효신노인요양센터,대구광역시,북구,노인,노인의료복지시설,노인요양공동생활가정,053-939-4567
새봄더케어실버타운,대구광역시,북구,노인,노인의료복지시설,노인요양공동생활가정,053-952-5535
성북공동생활가정,대구광역시,북구,노인,노인의료복지시설,노인요양공동생활가정,053-262-5690
하나복지센터,대구광역시,북구,노인,노인의료복지시설,노인요양공동생활가정,053-325-6311
신한솔요양원2,대구광역시,북구,노인,노인의료복지시설,노인요양공동생활가정,053-341-8034
가람노인복지센터2,대구광역시,북구,노인,노인의료복지시설,노인요양공동생활가정,053-327-2005
엘림실버요양원,대구광역시,북구,노인,노인의료복지시설,노인요양공동생활가정,053-942-1119
원대주간보호센터2,대구광역시,북구,노인,노인의료복지시설,노인요양공동생활가정,053-255-9988
해뜨는요양원2,대구광역시,북구,노인,노인의료복지시설,노인요양공동생활가정,053-958-5400
해뜨는요양원1,대구광역시,북구,노인,노인의료복지시설,노인요양공동생활가정,053-958-5400
상록수재활복지센터2,대구광역시,북구,노인,노인의료복지시설,노인요양공동생활가정,053-324-2522
해뜨는요양원4,대구광역시,북구,노인,노인의료복지시설,노인요양공동생활가정,053-958-5400
가람노인복지센터1,대구광역시,북구,노인,노인의료복지시설,노인요양공동생활가정,053-327-2005
상록수재활복지센터1,대구광역시,북구,노인,노인의료복지시설,노인요양공동생활가정,053-324-2522
효심노인요양센터,대구광역시,북구,노인,노인의료복지시설,노인요양공동생활가정,053-353-9592
사랑요양복지센터,대구광역시,북구,노인,노인의료복지시설,노인요양공동생활가정,053-351-0361
주식회사 예가노인복지센터,대구광역시,북구,노인,노인의료복지시설,노인요양공동생활가정,053-321-5804
뉴강북재활요양센터,대구광역시,북구,노인,노인의료복지시설,노인요양공동생활가정,053-325-8889
한아름노인복지센터,대구광역시,북구,노인,노인의료복지시설,노인요양공동생활가정,053-384-4874
부모사랑요양원,대구광역시,북구,노인,노인의료복지시설,노인요양공동생활가정,053-326-6349
한국노인요양공동생활가정,대구광역시,북구,노인,노인의료복지시설,노인요양공동생활가정,053-312-7121
선우요양복지센터,대구광역시,북구,노인,노인의료복지시설,노인요양공동생활가정,053-953-9977
서변실버요양원,대구광역시,북구,노인,노인의료복지시설,노인요양공동생활가정,053-951-8898
강산노인요양센터,대구광역시,북구,노인,노인의료복지시설,노인요양공동생활가정,053-944-6301
가가호호노인복지센터,대구광역시,북구,노인,노인의료복지시설,노인요양공동생활가정,053-561-2100
나비복현요양센터,대구광역시,북구,노인,노인의료복지시설,노인요양공동생활가정,053-943-8785
대불노인복지관,대구광역시,북구,노인,노인여가복지시설,노인복지관,053-381-8310
함지노인복지관,대구광역시,북구,노인,노인여가복지시설,노인복지관,053-326-3394
북구노인복지관,대구광역시,북구,노인,노인여가복지시설,노인복지관,053-353-9633
효성데이케어센터,대구광역시,북구,노인,노인여가복지시설,노인복지관,053-327-0222
강북노인복지관,대구광역시,북구,노인,노인여가복지시설,노인복지관,053-313-6644
대구재가복지용구사업소,대구광역시,북구,노인,재가노인복지시설,재가노인복지시설,053-955-2191
가은재가센터,대구광역시,북구,노인,재가노인복지시설,재가노인복지시설,053-321-5800
조은재활주간보호센터,대구광역시,북구,노인,재가노인복지시설,재가노인복지시설,053-558-9988
보배재가복지센터,대구광역시,북구,노인,재가노인복지시설,재가노인복지시설,053-958-5001
굿케어재가요양센터,대구광역시,북구,노인,재가노인복지시설,재가노인복지시설,053-357-1142
침산주간보호센터,대구광역시,북구,노인,재가노인복지시설,재가노인복지시설,053-353-3160
다정한노인복지센터,대구광역시,북구,노인,재가노인복지시설,재가노인복지시설,053-383-9889
섬김재가복지센터,대구광역시,북구,노인,재가노인복지시설,재가노인복지시설,053-280-9004
서변재가센터,대구광역시,북구,노인,재가노인복지시설,재가노인복지시설,053-954-0301
효성주간보호센터,대구광역시,북구,노인,재가노인복지시설,재가노인복지시설,053-341-3322
지니재가복지센터,대구광역시,북구,노인,재가노인복지시설,재가노인복지시설,053-313-1717
수노인복지센터,대구광역시,북구,노인,재가노인복지시설,재가노인복지시설,053-322-8802
A플러스재가노인복지센터,대구광역시,북구,노인,재가노인복지시설,재가노인복지시설,053-284-7887
효성기억학교,대구광역시,북구,노인,재가노인복지시설,재가노인복지시설,053-327-0222
연와재가복지센터,대구광역시,북구,노인,재가노인복지시설,재가노인복지시설,053-322-3582
+마실노인주간보호센터,대구광역시,북구,노인,재가노인복지시설,재가노인복지시설,053-242-4939
다원메디칼,대구광역시,북구,노인,재가노인복지시설,재가노인복지시설,053-326-3266
성실노인복지센터,대구광역시,북구,노인,재가노인복지시설,재가노인복지시설,053-291-5007
늘섬김노인복지센터,대구광역시,북구,노인,재가노인복지시설,재가노인복지시설,053-939-2227
(주)레마온종일케어 대현지점,대구광역시,북구,노인,재가노인복지시설,재가노인복지시설,053-943-0091
예림재가복지센터,대구광역시,북구,노인,재가노인복지시설,재가노인복지시설,053-944-6354
가정북구재가노인돌봄센터,대구광역시,북구,노인,재가노인복지시설,재가노인복지시설,053-0959-8310
경일재가노인복지시설,대구광역시,북구,노인,재가노인복지시설,재가노인복지시설,053-954-2755
(주)효메디컬,대구광역시,북구,노인,재가노인복지시설,재가노인복지시설,053-751-7744
