"시설명, 시도, 시군구, 시설유형(대), 시설유형(중), 시설유형(소), 연락처에 대한 조회리스트 정보 표 입니다.",,,,,,
시설명,시도,시군구,시설유형(대),시설유형(중),시설유형(소),연락처
수연노인주야간보호센터,인천광역시,계양구,노인,재가노인복지시설,재가노인복지시설,325519982
사랑마을주·야간보호센터,인천광역시,계양구,노인,재가노인복지시설,재가노인복지시설,325551112
동그라미복지센터,인천광역시,계양구,노인,재가노인복지시설,재가노인복지시설,325555595
사랑복지센터,인천광역시,계양구,노인,재가노인복지시설,재가노인복지시설,032-549-9190
사랑뜰방문요양센터,인천광역시,계양구,노인,재가노인복지시설,재가노인복지시설,325428889
서정방문요양센터,인천광역시,계양구,노인,재가노인복지시설,재가노인복지시설,322888625
즐거운노인주간보호센터,인천광역시,계양구,노인,재가노인복지시설,재가노인복지시설,325536512
다비다재가복지센터,인천광역시,계양구,노인,재가노인복지시설,재가노인복지시설,325528004
장기인지재활센터,인천광역시,계양구,노인,복합노인복지시설,복합노인복지시설,032-553-7900
효성인지재활센터,인천광역시,계양구,노인,복합노인복지시설,복합노인복지시설,032-546-7455
계양구노인인력개발센터,인천광역시,계양구,노인,노인일자리지원기관,노인일자리지원기관,032-546-9662
계양시니어클럽,인천광역시,계양구,노인,노인일자리지원기관,노인일자리지원기관,032-555-6330
소망의집,인천광역시,남동구,노인,노인주거복지시설,양로시설,032-446-8965
참사랑회소망의집,인천광역시,남동구,노인,노인주거복지시설,양로시설,032-446-1277
예랑의집,인천광역시,남동구,노인,노인주거복지시설,양로시설,032-471-2242
초도노인요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,032-461-3777
그린케어요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324463088
한마음요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324215555
아이러브요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324337866
새가나안요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324226349
한빛요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324719988
인천재활요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324337666
사랑의쉼터요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,328141119
에덴요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,032) 471-0101
가인요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,032-421-7070
맘편한요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324736900
코끼리요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324668883
은빛사랑재활요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324241588
효은요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324666660
소래실버요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,032-438-0900
영재요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324678886
간석실버요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324336971
인성요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324370077
예사랑요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324299437
주연요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,328165555
만수효요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324670106
인천YWCA요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324561151
갤럭시요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,032-421-9111
다솜요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324252250
해피트리요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324725100
괜찮은요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324232080
남동노인요양센터,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324669988
사랑의마을요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324463425
박사요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,328651519
효다솜요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,1047357166
구세군남동평강의마을,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,032-437-0991
노블레사요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324737111
호구포요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324223348
평강요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324275400
굿모닝요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324659142
실버프리 인천,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,328747707
그린케어요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324463088
(주)예손제이헤븐요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324392277
봄날요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324258001
무궁채요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,3218773588
다솜요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324252250
크리스마스요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324661225
글라라의집,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324469920
드림팰리스 요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324298000
인천효요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324237373
라엘요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324610323
세인트요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324635506
참사랑요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324276474
논현천사요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324342000
남동효요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,322282229
삼성요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324678899
(인천)VIP요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324652500
두경요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324329626
우리집요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324211103
박사요양원Ⅱ,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324319696
다우리요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324737115
한결소래빌리지,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,3216602808
예랑요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324712242
정진의료재단 영화요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324225770
오렌지요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,032-434-0038
연세효드림노인전문요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,032-434-7676
그레이스요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324684200
예은요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324251300
자연실버타운,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324211214
예수사랑노인복지원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,032-465-0289
자연노인전문요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324651777
인천은빛요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324622050
성녀모니카의집요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324715880
사랑채노인요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324648806
사랑요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324655110
남동바다의별요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,032-421-7980
도림너싱홈요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324351203
정성요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324295662
새소망요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324341660
존엄케어요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,327101644
만수요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,032-473-5300
아름다운세상만들기요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324721760
남동노아요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324738500
아가페요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324277473
신논현요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324318843
성심사랑요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324717799
미소지움요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324233777
미소지움요양원2,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324234560
참좋은요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,324672064
인향요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양시설,032-1833-3314
행복한요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양공동생활가정,324654027
행복한남촌요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양공동생활가정,322059984
가족공감요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양공동생활가정,322078180
공감요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양공동생활가정,324415330
제일요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양공동생활가정,324321191
천사노인요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양공동생활가정,322048180
희망실버요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양공동생활가정,327645778
가족사랑요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양공동생활가정,324655008
고려요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양공동생활가정,7050764121
더사랑요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양공동생활가정,322245894
샬롬요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양공동생활가정,032-471-1093
서창요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양공동생활가정,324690107
데레사요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양공동생활가정,324252006
축복요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양공동생활가정,328738191
효나눔의 집,인천광역시,남동구,노인,노인의료복지시설,노인요양공동생활가정,324312007
서창2요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양공동생활가정,324710104
서창효요양원2,인천광역시,남동구,노인,노인의료복지시설,노인요양공동생활가정,324710106
만수글라라의집2호 요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양공동생활가정,324630840
에덴의집,인천광역시,남동구,노인,노인의료복지시설,노인요양공동생활가정,324210471
금빛요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양공동생활가정,324731688
서창효요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양공동생활가정,324710106
경인실버요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양공동생활가정,324737904
참조은요양원1호,인천광역시,남동구,노인,노인의료복지시설,노인요양공동생활가정,328688887
성화은혜노인요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양공동생활가정,032-469-9056
벧엘요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양공동생활가정,324681962
참조은요양원2호,인천광역시,남동구,노인,노인의료복지시설,노인요양공동생활가정,328688887
천사의집2호,인천광역시,남동구,노인,노인의료복지시설,노인요양공동생활가정,032-467-6933
천사의집1호,인천광역시,남동구,노인,노인의료복지시설,노인요양공동생활가정,032-467-6933
평화요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양공동생활가정,032-438-3789
웃음꽃피는마을 요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양공동생활가정,324325001
새날요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양공동생활가정,324670603
보금자리요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양공동생활가정,324653523
만수글라라의집 요양원,인천광역시,남동구,노인,노인의료복지시설,노인요양공동생활가정,314630840
남동구노인복지관,인천광역시,남동구,노인,노인여가복지시설,노인복지관,032-435-1950
아름다운노인대학,인천광역시,남동구,노인,노인여가복지시설,노인교실,322478901
큰사랑실버라이프노인학교,인천광역시,남동구,노인,노인여가복지시설,노인교실,324649925
충효노인대학,인천광역시,남동구,노인,노인여가복지시설,노인교실,324677301
논현노인대학,인천광역시,남동구,노인,노인여가복지시설,노인교실,324466266
(사)대한노인회인천남동구지회 부설노인대학,인천광역시,남동구,노인,노인여가복지시설,노인교실,032-431-4085
성산종합사회복지관부설재가복지봉사센터,인천광역시,남동구,노인,재가노인복지시설,,032-438-2500
'(A)비지팅엔젤스 인천남동논현방문요양지점,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324621005
미카엘재가센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,322669191
굿하트 재가복지센터 인천남동,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,032-719-7090
은빛사랑재활주간보호센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324242588
한울노인주야간보호센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324722046
그린케어재가보호센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324463088
효성재가복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,032-719-4098
만수글라라의집2호 단기보호,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324630840
가온노인재가센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,327138661
남동재가노인지원서비스센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,032-465-3654
나래재가복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324613450
행복한노인복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324611300
(논현천사요양원 부설)천사방문간호센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324342000
정나눔방문요양센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324628580
나날주야간보호센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324682220
도움재가노인복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324220188
성산재가복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324630323
논고개재가노인복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,1093024462
세움재가복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324320337
가온누리재가노인복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324664198
3H재가노인복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324297079
온유방문요양센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,327138945
서창효주야간보호센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324710106
효나누미노인복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,327138879
빛나리주간보호센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324613555
샬롬방문요양센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324661091
효담재가노인복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324299340
꿈사재가복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324716771
케어닥방문요양센터인천점,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324699861
우리들재가복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,032-433-0303
선한케어복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,327197330
단비노인복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324650988
한결드림재가복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324321602
(A+)동행노인복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324323651
효심재가노인복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,032-467-0616
다정재가노인복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324377033
미래교육 재가노인지원서비스센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,327158141
정다운하루 방문간호센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324331918
가정방문요양센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,325678901
이든재가노인복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324690124
다사랑주야간보호센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324374300
복사꽃재가노인복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,7087292580
큰딸노인재가복지시설,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,322714345
인천노인주간보호센터논현점,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324299907
해바라기방문요양센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,325221793
가천재가센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324385020
정성노인복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324679992
행복재가노인복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,327157239
섬기는 레나 재가노인복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,032-432-3380
희망주야간보호센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,327645778
승진노인복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324383882
새희망재가복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324276886
길상화노인복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324280700
더사랑복지용구센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324625374
정노인복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324250919
MH 엄마손 실버복지용구,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324680129
이삭노인요양복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324639182
큰사랑노인복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324251777
영재재가센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324628886
힐링방문요양주간보호센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324633164
와우복지용구,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,327100041
예은재가복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,327217747
남동엔젤스노인복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,032-426-2018
광명노인복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324399888
해피노인방문요양센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324668817
웃음꽃피는마을주간보호센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324325001
어진주야간보호센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,327194610
미소주간보호센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324689777
에덴주야간보호센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324710101
평안방문요양복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324662602
민들레재가복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324623927
기억정원데이케어센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324262088
인천YWCA재가복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324561151
함께동행사회적협동조합 재가요양방문제공기관,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,7075372524
시온노인복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,327104769
늘푸른방문요양센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324677785
참좋은주야간보호센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324672064
삼성요양재가복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,327107151
온누리노인복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,032-467-5300
더나은재가요양복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324689680
다빈재가복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324296840
라파주야간보호센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324676634
사랑재가복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324225263
새날주간보호센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324670603
송이노인복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324677303
정다운재가복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,327215600
새희망노인복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,322441331
태양재가복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324658806
100세동안 남동구점,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324730100
으뜸노인재활주간보호센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324730013
인천재가복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324658575
(주)푸른숲실버케어 재가복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,322783689
A+연세간호요양센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324233369
두경재가센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324329626
현대복지용구,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,322890002
가정재가노인복지센터,인천광역시,남동구,노인,재가노인복지시설,재가노인복지시설,324660500
남동구치매주간보호시설,인천광역시,남동구,노인,복합노인복지시설,복합노인복지시설,032-433-7443
남동시니어클럽,인천광역시,남동구,노인,노인일자리지원기관,노인일자리지원기관,322676080
남동구노인인력개발센터,인천광역시,남동구,노인,노인일자리지원기관,노인일자리지원기관,324668836
행복한효요양원2호점,인천광역시,동구,노인,노인의료복지시설,노인요양시설,327649998
아가페요양원,인천광역시,동구,노인,노인의료복지시설,노인요양시설,327720733
인천요양원,인천광역시,동구,노인,노인의료복지시설,노인요양시설,032-773-1403
금곡노인요양원,인천광역시,동구,노인,노인의료복지시설,노인요양시설,032-773-2223
행복한효요양원,인천광역시,동구,노인,노인의료복지시설,노인요양시설,327779998
시니어빌리지요양원,인천광역시,동구,노인,노인의료복지시설,노인요양시설,327648080
동인천요양원,인천광역시,동구,노인,노인의료복지시설,노인요양시설,327621007
미래간호요양원 2호점,인천광역시,동구,노인,노인의료복지시설,노인요양공동생활가정,327617730
미래간호요양원,인천광역시,동구,노인,노인의료복지시설,노인요양공동생활가정,325749998
동구노인문화센터,인천광역시,동구,노인,노인여가복지시설,노인복지관,032-765-3677
동구노인복지관,인천광역시,동구,노인,노인여가복지시설,노인복지관,032-761-3677
효사랑 노인재가복지센터,인천광역시,동구,노인,재가노인복지시설,재가노인복지시설,327641238
효손재가복지센터,인천광역시,동구,노인,재가노인복지시설,재가노인복지시설,327650328
성언의집재가노인지원서비스센터,인천광역시,동구,노인,재가노인복지시설,재가노인복지시설,032-772-1664
인천노인재가복지센터,인천광역시,동구,노인,재가노인복지시설,재가노인복지시설,327730991
동구재가노인지원서비스센터(방문),인천광역시,동구,노인,재가노인복지시설,재가노인복지시설,032-761-3677
동구구립치매전담형주간보호센터,인천광역시,동구,노인,재가노인복지시설,재가노인복지시설,325750019
가봄노인재가복지센터,인천광역시,동구,노인,재가노인복지시설,재가노인복지시설,327725022
한울노인복지센터,인천광역시,동구,노인,재가노인복지시설,재가노인복지시설,327770334
동인천노인주야간보호센터,인천광역시,동구,노인,재가노인복지시설,재가노인복지시설,327658866
청운방문요양센터,인천광역시,동구,노인,재가노인복지시설,재가노인복지시설,3215777880
동구재가노인지원서비스센터,인천광역시,동구,노인,재가노인복지시설,재가노인복지시설,032-761-3677
연세재가노인복지센터,인천광역시,동구,노인,재가노인복지시설,재가노인복지시설,325749998
인천광역시동구 노인인력개발센터,인천광역시,동구,노인,노인일자리지원기관,노인일자리지원기관,322145700
성빈첸시오 천사의집,인천광역시,미추홀구,노인,노인주거복지시설,양로시설,032-435-9257
성벤첸시오 천사의집,인천광역시,미추홀구,노인,노인주거복지시설,양로시설,032-435-9257
매화요양원,인천광역시,미추홀구,노인,노인의료복지시설,노인요양시설,328910121
믿음요양원,인천광역시,미추홀구,노인,노인의료복지시설,노인요양시설,324351020
인일효요양원,인천광역시,미추홀구,노인,노인의료복지시설,노인요양시설,032-868-6000
성심요양원,인천광역시,미추홀구,노인,노인의료복지시설,노인요양시설,328729248
(인천)에벤에셀요양원,인천광역시,미추홀구,노인,노인의료복지시설,노인요양시설,328821001
포도나무요양원,인천광역시,미추홀구,노인,노인의료복지시설,노인요양시설,032)866-1191
라라요양원,인천광역시,미추홀구,노인,노인의료복지시설,노인요양시설,327217753
행복한요양원,인천광역시,미추홀구,노인,노인의료복지시설,노인요양시설,032-435-6300
천사의집노인요양원,인천광역시,미추홀구,노인,노인의료복지시설,노인요양시설,032-435-9257
다온요양원,인천광역시,미추홀구,노인,노인의료복지시설,노인요양시설,328622200
참사랑요양원,인천광역시,미추홀구,노인,노인의료복지시설,노인요양시설,032-464-7802
주안하주요양원,인천광역시,미추홀구,노인,노인의료복지시설,노인요양시설,327154455
생명수요양원,인천광역시,미추홀구,노인,노인의료복지시설,노인요양시설,328747070
효담채요양원,인천광역시,미추홀구,노인,노인의료복지시설,노인요양시설,328822200
예사랑요양원,인천광역시,미추홀구,노인,노인의료복지시설,노인요양시설,328838511
온유한요양원,인천광역시,미추홀구,노인,노인의료복지시설,노인요양시설,032-442-7583
인천은혜요양원,인천광역시,미추홀구,노인,노인의료복지시설,노인요양시설,032-868-7076
주안해피타운,인천광역시,미추홀구,노인,노인의료복지시설,노인요양시설,032-432-2070
도화요양원,인천광역시,미추홀구,노인,노인의료복지시설,노인요양시설,324225161
제일요양원,인천광역시,미추홀구,노인,노인의료복지시설,노인요양시설,328763230
효다함요양원,인천광역시,미추홀구,노인,노인의료복지시설,노인요양시설,032-884-8883
해피하우스요양원,인천광역시,미추홀구,노인,노인의료복지시설,노인요양시설,328768899
주안요양원,인천광역시,미추홀구,노인,노인의료복지시설,노인요양시설,324335675
지안요양원,인천광역시,미추홀구,노인,노인의료복지시설,노인요양시설,328739988
미추홀효요양원,인천광역시,미추홀구,노인,노인의료복지시설,노인요양시설,324268090
자미원요양원,인천광역시,미추홀구,노인,노인의료복지시설,노인요양시설,328883688
노아요양원,인천광역시,미추홀구,노인,노인의료복지시설,노인요양시설,324248188
인천사랑노인요양원,인천광역시,미추홀구,노인,노인의료복지시설,노인요양시설,032-428-8850
수림재활요양원,인천광역시,미추홀구,노인,노인의료복지시설,노인요양시설,322461000
The 숲 요양원,인천광역시,미추홀구,노인,노인의료복지시설,노인요양시설,032-710-0086
햇살노인전문요양원,인천광역시,미추홀구,노인,노인의료복지시설,노인요양시설,032-891-9555
인하요양원,인천광역시,미추홀구,노인,노인의료복지시설,노인요양시설,328752255
숭의요양원,인천광역시,미추홀구,노인,노인의료복지시설,노인요양시설,032-883-6999
남구늘푸른노인요양원,인천광역시,미추홀구,노인,노인의료복지시설,노인요양시설,324238870
햇살누리요양센터,인천광역시,미추홀구,노인,노인의료복지시설,노인요양시설,328919588
주안愛요양원,인천광역시,미추홀구,노인,노인의료복지시설,노인요양시설,032-442-3114
사랑요양원,인천광역시,미추홀구,노인,노인의료복지시설,노인요양시설,323442111
세심요양원,인천광역시,미추홀구,노인,노인의료복지시설,노인요양시설,324729626
그린1요양원,인천광역시,미추홀구,노인,노인의료복지시설,노인요양공동생활가정,324229113
행복드림요양원2,인천광역시,미추홀구,노인,노인의료복지시설,노인요양공동생활가정,032-438-1999
진요양원,인천광역시,미추홀구,노인,노인의료복지시설,노인요양공동생활가정,328649902
노인요양원 행복의집,인천광역시,미추홀구,노인,노인의료복지시설,노인요양공동생활가정,328870237
행복드림요양원,인천광역시,미추홀구,노인,노인의료복지시설,노인요양공동생활가정,032-438-1999
노인요양원 행복의집Ⅱ,인천광역시,미추홀구,노인,노인의료복지시설,노인요양공동생활가정,328870238
센트럴힐링요양원2,인천광역시,미추홀구,노인,노인의료복지시설,노인요양공동생활가정,324322199
