,0
335,"음악/콘서트
공연/전시
유료
서울
안드라스 쉬프 피아노 리사이틀 [서울]
제공유형
오프라인
장소
롯데콘서트홀
기간
2022-11-06~2022-11-06
문의처
마스트미디어 02-541-2512
자세히보기
예매 바로가기"
336,"뮤지컬/오페라
공연/전시
유료
경남
겨울왕국: 겨울이야기 [김해]
제공유형
오프라인
장소
김해칠암도서관
기간
2022-11-06~2022-11-06
문의처
인터파크 1544-1555
자세히보기
예매 바로가기"
337,"음악/콘서트
공연/전시
유료
인천
심포니 오브 메이플스토리 전국투어 [인천]
제공유형
오프라인
장소
아트센터 인천
기간
2022-11-06~2022-11-06
문의처
스톰프뮤직 02-2658-3546
자세히보기
예매 바로가기"
338,"국악
공연/전시
무료
서울
[야광명월(夜光明月)] 월드뮤직그룹 공명
제공유형
오프라인
장소
서울돈화문국악당
기간
2022-11-06~2022-11-06
문의처
02-3210-7001
자세히보기
예매 바로가기"
339,"음악/콘서트
공연/전시
유료
서울
안드라스 쉬프 피아노 리사이틀
제공유형
오프라인
장소
롯데 콘서트홀
기간
2022-11-06~2022-11-06
문의처
02-541-2512
자세히보기
예매 바로가기"
340,"음악/콘서트
공연/전시
유료
인천
2022 카즈미 타테이시 트리오 내한 공연-지브리, 재즈를 만나다(인천)
제공유형
오프라인
장소
인천문화예술회관
기간
2022-11-06~2022-11-06
문의처
070-8680-8477
자세히보기
예매 바로가기"
341,"교육/체험
교육/체험
무료
[2022 제 8기 관객문화교실 심화반 수강생 모집]
제공유형
온라인
제공기관
문화체육관광부 부산광역시/ 부산문화재단
기간
2022-08-22~2022-11-07
홈페이지 바로가기
예매 바로가기"
342,"뮤지컬/오페라
공연/전시
유료
서울
브론테
제공유형
오프라인
장소
자유극장
기간
2022-09-04~2022-11-07
문의처
070-8095-9734
자세히보기
예매 바로가기"
343,"음악/콘서트
공연/전시
유료
서울
이자윤 바이올린 독주회
제공유형
오프라인
장소
금호아트홀 연세
기간
2022-11-07~2022-11-07
문의처
이든예술기획 02-6412-3053
자세히보기
예매 바로가기"
344,"음악/콘서트
공연/전시
유료
서울
신동일 파이프오르간 독주회
제공유형
오프라인
장소
롯데콘서트홀
기간
2022-11-07~2022-11-07
문의처
영음예술기획 02-581-5404
자세히보기
예매 바로가기"
345,"교육/체험
교육/체험
유료,무료
2022년 (사)무대음향협회 하반기 기술세미나 대경지부
제공유형
오프라인
제공기관
(사)무대음향협회
기간
2022-11-07~2022-11-07
문의처
010-2322-8591
홈페이지 바로가기"
346,"교육/체험
교육/체험
무료
직업 in 예술
제공유형
오프라인
제공기관
예술의전당 예술교육부
기간
2022-10-28~2022-11-08
문의처
02-580-1457
홈페이지 바로가기"
347,"전시
공연/전시
무료
서울
[집밖] 감각의 비경계 맞닿은 세계
제공유형
오프라인
장소
세운홀
기간
2022-11-04~2022-11-08
문의처
070-8145-7934
자세히보기
예매 바로가기"
348,"음악/콘서트
공연/전시
유료
경기
[집밖] 제14회 프라미스 청소년 오케스트라 정기연주회
제공유형
오프라인
장소
용인포은아트홀
기간
2022-11-08~2022-11-08
문의처
프로아트 02-585-2934~6
자세히보기
예매 바로가기"
349,"국악
공연/전시
무료
서울
신음악회 기획시리즈 이 ㅅ음 I, 봄봄
제공유형
오프라인
장소
국립국악원 풍류사랑방
기간
2022-11-08~2022-11-08
문의처
현대문화기획 02-2266-1307
자세히보기
예매 바로가기"
350,"음악/콘서트
공연/전시
무료
서울
신진 아티스트 콘서트
제공유형
오프라인
장소
북서울 꿈의숲아트센터
기간
2022-11-08~2022-11-08
문의처
JSBACH 070-4234-1305
자세히보기
예매 바로가기"
351,"음악/콘서트
공연/전시
유료
서울
국립합창단 <위대한 합창 시리즈Ⅲ: 바흐 B단조 미사>
제공유형
오프라인
장소
국립극장 해오름극장
기간
2022-11-08~2022-11-08
문의처
02-587-8222
자세히보기
예매 바로가기"
352,"음악/콘서트
공연/전시
유료
서울
헨레 마스터클래스 with 안드라스 쉬프
제공유형
오프라인
장소
신영체임버홀
기간
2022-11-08~2022-11-08
문의처
마스트미디어 02-541-3184
자세히보기
예매 바로가기"
353,"음악/콘서트
공연/전시
무료
경기
펄플룻앙상블 코리아 창단연주회
제공유형
오프라인
장소
성남아트센터
기간
2022-11-08~2022-11-08
문의처
010-6313-7205
자세히보기
예매 바로가기"
354,"무용/발레
공연/전시
무료
부산
이야기와 해설이 있는 동화 속 발레 갈라 콘서트 [해운대]
제공유형
오프라인
장소
해운대문화회관
기간
2022-11-08~2022-11-08
문의처
해운대문화회관 051-749-7651
자세히보기
예매 바로가기"
355,"음악/콘서트
공연/전시
무료
광주
Amelie with Soundtrack: 아멜리와 함께하는 영화음악산책
제공유형
오프라인
장소
광산문화예술회관
기간
2022-11-08~2022-11-08
문의처
광산구 문화예술과 062-960-8258
자세히보기
예매 바로가기"
356,"음악/콘서트
공연/전시
유료
서울
이수정 피아노 독주회
제공유형
오프라인
장소
예술의전당 인춘아트홀
기간
2022-11-08~2022-11-08
문의처
조인클래식 02-525-6162,5
자세히보기
예매 바로가기"
357,"음악/콘서트
공연/전시
유료
서울
양정민 귀국 비올라 독주회
제공유형
오프라인
장소
금호아트홀 연세
기간
2022-11-08~2022-11-08
문의처
마스트미디어 02-541-3184
자세히보기
예매 바로가기"
358,"음악/콘서트
공연/전시
유료
대구
지역청년음악가 지원프로그램, 이야기를 품은 클래식
제공유형
오프라인
장소
한영아트센터
기간
2022-11-08~2022-11-08
문의처
수성아트피아 053-668-1800
자세히보기
예매 바로가기"
359,"음악/콘서트
공연/전시
유료
서울
양정민 귀국 비올라 독주회
제공유형
오프라인
장소
금호아트홀 연세
기간
2022-11-08~2022-11-08
문의처
02-541-2512
자세히보기
예매 바로가기"
360,"음악/콘서트
공연/전시
유료
서울
제니윤 바이올린 독주회
제공유형
오프라인
장소
영산아트홀
기간
2022-11-08~2022-11-08
문의처
스튜디오 더존 02-514-0050
자세히보기
예매 바로가기"
361,"음악/콘서트
공연/전시
유료,할인
서울
국립합창단 제191회 정기연주회 <바흐 B단조 미사>
제공유형
오프라인
장소
국립극장 해오름극장
기간
2022-11-08~2022-11-08
문의처
국립합창단 02) 587-8111
자세히보기
예매 바로가기"
362,"음악/콘서트
공연/전시
유료
대구
김은옥 피아노 독주회
제공유형
오프라인
장소
달서아트센터
기간
2022-11-08~2022-11-08
문의처
티켓링크 1588-7890
자세히보기
예매 바로가기"
363,"음악/콘서트
공연/전시
유료
서울
박소영 바이올린 독주회
제공유형
오프라인
장소
세종문화회관 체임버홀
기간
2022-11-08~2022-11-08
문의처
영음예술기획 02-581-5404
자세히보기
예매 바로가기"
364,"음악/콘서트
공연/전시
무료
남양주시립합창단 기획연주회: 칸티아모
제공유형
오프라인
장소
진접읍주민자치센터 (크낙새홀(대강당))
기간
2022-11-08~2022-11-08
문의처
남양주시 문화예술과 031-590-2475
자세히보기
예매 바로가기"
365,"음악/콘서트
공연/전시
유료
서울
제37회 매일클래식
제공유형
오프라인
장소
롯데콘서트홀
기간
2022-11-08~2022-11-08
문의처
컬쳐비즈 02-701-4879
자세히보기
예매 바로가기"
366,"음악/콘서트
공연/전시
유료
서울
제74회 (사)한국페스티발앙상블 정기연주회
제공유형
오프라인
장소
예술의전당 IBK챔버홀
기간
2022-11-08~2022-11-08
문의처
(사)한국페스티발앙상블 02-501-8477
자세히보기
예매 바로가기"
367,"뮤지컬/오페라
공연/전시
유료
대구
오페라 춘향전 패션을 입다 [대구]
제공유형
오프라인
장소
아양아트센터
기간
2022-11-08~2022-11-08
문의처
지트리아트컴퍼니 0507-1301-7467
자세히보기
예매 바로가기"
368,"음악/콘서트
공연/전시
유료
대전
아침을 여는 클래식, 송지원x이한나x이정현x정재원 (11월)
제공유형
오프라인
장소
대전예술의전당
기간
2022-11-08~2022-11-08
문의처
대전예술의전당 042-270-8333
자세히보기
예매 바로가기"
369,"음악/콘서트
공연/전시
유료
서울
국립합창단, 위대한 합창 시리즈Ⅲ: 바흐 B단조 미사
제공유형
오프라인
장소
국립극장 해오름극장
기간
2022-11-08~2022-11-08
문의처
국립극장 02-2280-4114
자세히보기
예매 바로가기"
370,"음악/콘서트
공연/전시
유료
서울
김선욱 & 유럽 챔버 오케스트라 (11.08)
제공유형
오프라인
장소
예술의전당 콘서트홀
기간
2022-11-08~2022-11-08
문의처
빈체로 02-599-5743
자세히보기
예매 바로가기"
371,"음악/콘서트
공연/전시
유료
대구
월드오케스트라시리즈, 대구유스오케스트라
제공유형
오프라인
장소
대구콘서트하우스 그랜드홀
기간
2022-11-08~2022-11-08
문의처
월드오케스트라시리즈 조직위원회 053-250-1447~8
자세히보기
예매 바로가기"
372,"음악/콘서트
공연/전시
유료
울산
조윤범의 렉처콘서트 작곡가 시리즈 Ⅴ, 슈트라우스
제공유형
오프라인
장소
중구문화의전당
기간
2022-11-08~2022-11-08
문의처
울산중구문화의전당 052-290-4000
자세히보기
예매 바로가기"
373,"뮤지컬/오페라
공연/전시
유료
서울
서울오페라페스티벌, 토토와 함께하는 오페라 여행
제공유형
오프라인
장소
강동아트센터
기간
2022-11-08~2022-11-08
문의처
강동아트센터 02-440-0500
자세히보기
예매 바로가기"
374,"음악/콘서트
공연/전시
유료
서울
2022자양아티스트라운지 <3 ROMANCES >
제공유형
오프라인
장소
PMF자양스테이션
기간
2022-11-02~2022-11-09
문의처
02-458-4840 / 010-5202-4840(문자)
자세히보기
예매 바로가기"
375,"연극
공연/전시
유료
경남
작은 무대에 부는 바람, 마중
제공유형
오프라인
장소
현장아트홀
기간
2022-11-07~2022-11-09
문의처
한국연극협회 경상남도지회 055-746-7413
자세히보기
예매 바로가기"
376,"연극
공연/전시
유료
광주
아버지와 살면 [광주]
제공유형
오프라인
장소
씨어터 연바람
기간
2022-11-07~2022-11-09
문의처
씨어터 연바람 062-226-2446
자세히보기
예매 바로가기"
377,"음악/콘서트
공연/전시
유료
대구
제1회 앙상블 로체 정기연주회
제공유형
오프라인
장소
대구콘서트하우스 챔버홀
기간
2022-11-09~2022-11-09
문의처
에이엠예술기획 053-623-0684
자세히보기
예매 바로가기"
378,"음악/콘서트
공연/전시
유료
서울
제19회 이화성악회 정기연주회
제공유형
오프라인
장소
세종문화회관 체임버홀
기간
2022-11-09~2022-11-09
문의처
예인예술기획 02-586-0945
자세히보기
예매 바로가기"
379,"음악/콘서트
공연/전시
유료
서울
제38회 서울신학대학교 심포니콰이어 정기연주회
제공유형
오프라인
장소
예술의전당 콘서트홀
기간
2022-11-09~2022-11-09
문의처
영음예술기획 02-581-5404
자세히보기
예매 바로가기"
380,"무용/발레
공연/전시
무료
경북
한중일 춤으로 통(通)하다
제공유형
오프라인
장소
경주예술의전당
기간
2022-11-09~2022-11-09
문의처
예인예술단 054-742-1025
자세히보기
예매 바로가기"
381,"음악/콘서트
공연/전시
유료
서울
화음챔버오케스트라 미술관 순례 Ⅱ
제공유형
오프라인
장소
예술의전당 인춘아트홀
기간
2022-11-09~2022-11-09
문의처
조선통신사 02-544-9092
자세히보기
예매 바로가기"
382,"음악/콘서트
공연/전시
유료
서울
예진 영 아티스트콘서트 (11.09)
제공유형
오프라인
장소
푸르지오 아트홀
기간
2022-11-09~2022-11-09
문의처
매니지먼트 예진 02-2266-7740
자세히보기
예매 바로가기"
383,"음악/콘서트
공연/전시
유료
서울
무지카에스스트링챔버 연주회
제공유형
오프라인
장소
노원문화예술회관
기간
2022-11-09~2022-11-09
문의처
무지카에스스트링챔버 010-2606-4451
자세히보기
예매 바로가기"
384,"음악/콘서트
공연/전시
유료
서울
서울바흐축제, 실내악 시리즈
제공유형
오프라인
장소
예술의전당 리사이틀홀
기간
2022-11-09~2022-11-09
문의처
콜레기움 보칼레 서울 0502-1935-1750
자세히보기
예매 바로가기"
385,"국악
공연/전시
유료
부산
수요공감, 유시은 판소리 독창회
제공유형
오프라인
장소
국립부산국악원
기간
2022-11-09~2022-11-09
문의처
국립부산국악원 051-811-0114
자세히보기
예매 바로가기"
386,"음악/콘서트
공연/전시
유료
서울
아름다운 목요일, 인터내셔널 마스터즈 시리즈: 프랑수아 프레데리크 기 Piano (11.9)
제공유형
오프라인
장소
금호아트홀 연세
기간
2022-11-09~2022-11-09
문의처
금호문화재단 02-6303-1977
자세히보기
예매 바로가기"
387,"음악/콘서트
공연/전시
유료
서울
크레디아 클래식 클럽, 박현수 & 조영훈
제공유형
오프라인
장소
롯데콘서트홀
기간
2022-11-09~2022-11-09
문의처
크레디아뮤직앤아티스트 02-318-4301
자세히보기
예매 바로가기"
388,"음악/콘서트
공연/전시
유료
경북
안동문화예술의전당 브런치콘서트, La Danza (11월)
제공유형
오프라인
장소
안동문화예술의전당
기간
2022-11-09~2022-11-09
문의처
안동문화예술의전당 054-840-3600
자세히보기
예매 바로가기"
389,"기타
공연/전시
유료
서울
다르미가틈
제공유형
오프라인
장소
성수아트홀
기간
2022-11-09~2022-11-09
문의처
아투즈컴퍼니 070-7757-0300
자세히보기
예매 바로가기"
390,"음악/콘서트
공연/전시
유료
서울
펠릭스 클리저 호른 리사이틀 [서울]
제공유형
오프라인
장소
예술의전당 IBK챔버홀
기간
2022-11-09~2022-11-09
문의처
인아츠프로덕션 인아츠프로덕션 02-6954-7760
자세히보기
예매 바로가기"
391,"뮤지컬/오페라
공연/전시
무료
부산
모두를 위한 오페라, La Traviata
제공유형
오프라인
장소
부산문화회관 대극장
기간
2022-11-09~2022-11-09
문의처
일반 부산문화회관 051-607-6000 (ARS 1번) / 시각장애인 051-462-3292 / 청각장애인 010-3902-6790
자세히보기
예매 바로가기"
392,"뮤지컬/오페라
공연/전시
유료
서울
서울오페라페스티벌, 푸른 눈의 목격자
제공유형
오프라인
장소
강동아트센터
기간
2022-11-09~2022-11-09
문의처
강동아트센터 02-440-0500
자세히보기
예매 바로가기"
393,"음악/콘서트
공연/전시
유료
서울
테너 이상규 교수 초청 독창회
제공유형
오프라인
장소
세라믹팔레스홀
기간
2022-11-09~2022-11-09
문의처
인터파크 1544-1555
자세히보기
예매 바로가기"
394,"전시
공연/전시
무료
인천
세계적인 힐링아트 젠탱글 & 꽃 도자기
제공유형
오프라인
장소
인천광역시교육청평생학습관
기간
2022-11-02~2022-11-10
문의처
032)899-1516
자세히보기
예매 바로가기"
395,"전시
공연/전시
무료
인천
인천교원사진영상연구회
제공유형
오프라인
장소
인천광역시교육청평생학습관
기간
2022-11-02~2022-11-10
문의처
032-899-1516
자세히보기
예매 바로가기"
396,"연극
공연/전시
유료
서울
제22회 월드 2인극 페스티벌, 누가 디케의 눈을 가렸나
제공유형
오프라인
장소
대학로 예술공간 혜화
기간
2022-11-08~2022-11-10
문의처
2인극페스티벌 조직위원회 070-7776-6613
자세히보기
예매 바로가기"
397,"연극
공연/전시
유료
대구
작은 무대에 부는 바람, 사평역 [대구]
제공유형
오프라인
장소
한울림 소극장
기간
2022-11-08~2022-11-10
문의처
한울림소극장 053-246-2925
자세히보기
예매 바로가기"
398,"기타
공연/전시
무료
경기
Sea Of Love
제공유형
오프라인
장소
성남아트센터
기간
2022-11-09~2022-11-10
문의처
010-2394-0507
자세히보기
예매 바로가기"
399,"기타
공연/전시
유료
부산
부산공연콘텐츠페스타, 토끼h의 시간
제공유형
오프라인
장소
부산시민회관
기간
2022-11-09~2022-11-10
문의처
부산문화회관 051-607-6000 (ARS 1번)
자세히보기
예매 바로가기"
400,"기타
공연/전시
유료
서울
[집밖] 최정주 아트앤뮤직 큐레이션, 도시의 미술관 산책: 피렌체
제공유형
오프라인
장소
JCC아트센터
기간
2022-11-10~2022-11-10
문의처
재능문화 02-2138-7373
자세히보기
예매 바로가기"
401,"음악/콘서트
공연/전시
유료
울산
울주안의 클래식 스케치, 마에스트라 김봉미의 울주 in France
제공유형
오프라인
장소
울주문화예술회관
기간
2022-11-10~2022-11-10
문의처
울주문화예술회관 052-980-2270
자세히보기
예매 바로가기"
402,"음악/콘서트
공연/전시
유료
서울
장은주 피아노 독주회
제공유형
오프라인
장소
세종문화회관 체임버홀
기간
2022-11-10~2022-11-10
문의처
클라시코예술기획 02-775-8600
자세히보기
예매 바로가기"
403,"음악/콘서트
공연/전시
유료
충남
더 클래식 콘서트 13, 지역대학교수들 Ⅱ [천안]
제공유형
오프라인
장소
천안예술의전당
기간
2022-11-10~2022-11-10
문의처
천안예술의전당 1566-0155
자세히보기
예매 바로가기"
404,"연극
공연/전시
유료
충남
밤의여왕 [당진]
제공유형
오프라인
장소
당진문예의전당
기간
2022-11-10~2022-11-10
문의처
당진문예의전당 041-350-2911 / 당진신문 041-357-4710
자세히보기
예매 바로가기"
405,"음악/콘서트
공연/전시
무료
광주
2022 빛고을융복합렉처콘서트 '우리도 행복할 수 있을까, 덴마크에서 그 답을 찾다'
제공유형
오프라인
장소
빛고을 아트스페이스
기간
2022-11-10~2022-11-10
문의처
062-670-7926 (유선 예매만 가능)
자세히보기
예매 바로가기"
406,"음악/콘서트
공연/전시
유료
대구
김두민 첼로 리사이틀 (11.10)
제공유형
오프라인
장소
공간 울림
기간
2022-11-10~2022-11-10
문의처
공간울림 053-765-5632
자세히보기
예매 바로가기"
407,"무용/발레
공연/전시
유료
울산
헨젤과 그레텔 [울산]
제공유형
오프라인
장소
울산문화예술회관
기간
2022-11-10~2022-11-10
문의처
울산문화예술회관 052-275-9623
자세히보기
예매 바로가기"
408,"음악/콘서트
공연/전시
유료
서울
최세나 리코더 독주회
제공유형
오프라인
장소
일신홀
기간
2022-11-10~2022-11-10
문의처
도미넌트에이전시 070-8807-0608
자세히보기
예매 바로가기"
409,"음악/콘서트
공연/전시
무료
경기
남양주시립합창단 기획연주회, 힐링하러 가요 (11.10)
제공유형
오프라인
장소
남양주시평내도서관
기간
2022-11-10~2022-11-10
문의처
남양주시 문화예술과 031-590-2475
자세히보기
예매 바로가기"
410,"음악/콘서트
공연/전시
무료
전북
제68회 군산시립교향악단 특별기획연주회
제공유형
오프라인
장소
군산예술의전당
기간
2022-11-10~2022-11-10
문의처
군산시립교향악단 063-454-5556, 5528
자세히보기
예매 바로가기"
411,"음악/콘서트
공연/전시
유료
충남
이영희 피아노 독주회
제공유형
오프라인
장소
성환문화회관
기간
2022-11-10~2022-11-10
문의처
라온예술기획 041-577-1855
자세히보기
예매 바로가기"
412,"국악
공연/전시
유료
서울
박동실制 심청가 눈대목 감상회
제공유형
오프라인
장소
국립국악원 풍류사랑방
기간
2022-11-10~2022-11-10
문의처
010-2532-8655
자세히보기
예매 바로가기"
413,"음악/콘서트
공연/전시
유료
서울
박준영 바이올린 독주회
제공유형
오프라인
장소
예술의전당 인춘아트홀
기간
2022-11-10~2022-11-10
문의처
조인클래식 02-525-6162
자세히보기
예매 바로가기"
414,"음악/콘서트
공연/전시
유료
서울
배성우 귀국 첼로 독주회
제공유형
오프라인
장소
예술의전당 리사이틀홀
기간
2022-11-10~2022-11-10
문의처
이든예술기획 02-6412-3053
자세히보기
예매 바로가기"
415,"음악/콘서트
공연/전시
유료
대구
수성아트피아 마티네 시즌 17, 드보르작의 보헤미안 (11월)
제공유형
오프라인
장소
한영아트센터
기간
2022-11-10~2022-11-10
문의처
수성아트피아 053-668-1800
자세히보기
예매 바로가기"
416,"음악/콘서트
공연/전시
유료
대전
대전시립교향악단, DPO 클로즈업 4
제공유형
오프라인
장소
대전시립연정국악원
기간
2022-11-10~2022-11-10
문의처
대전시립교향악단 042-270-8382~8
자세히보기
예매 바로가기"
417,"음악/콘서트
공연/전시
유료
서울
아름다운 목요일, 인터내셔널 마스터즈 시리즈: 프랑수아 프레데리크 기 Piano (11.10)
제공유형
오프라인
장소
금호아트홀 연세
기간
2022-11-10~2022-11-10
문의처
금호문화재단 02-6303-1977
자세히보기
예매 바로가기"
418,"음악/콘서트
공연/전시
유료
경기
부천필하모닉오케스트라 특별기획연주회: 콘체르토 vs 콘체르토
제공유형
오프라인
장소
부천시민회관 대공연장
기간
2022-11-10~2022-11-10
문의처
032-327-7523
자세히보기
예매 바로가기"
419,"음악/콘서트
공연/전시
유료
서울
부산시립교향악단 & 양인모
제공유형
오프라인
장소
롯데콘서트홀
기간
2022-11-10~2022-11-10
문의처
롯데문화재단 1544-7744
자세히보기
예매 바로가기"
420,"연극
공연/전시
유료
대전
행복한 왕자 [대전]
제공유형
오프라인
장소
대전예술의전당
기간
2022-11-10~2022-11-10
문의처
대전예술의전당 042-270-8333
자세히보기
예매 바로가기"
421,"음악/콘서트
공연/전시
유료
대구
월드오케스트라시리즈, 김선욱 & 유럽 챔버 오케스트라
제공유형
오프라인
장소
대구콘서트하우스 그랜드홀
기간
2022-11-10~2022-11-10
문의처
월드오케스트라시리즈 조직위원회 053-250-1447~8
자세히보기
예매 바로가기"
422,"음악/콘서트
공연/전시
유료
부산
안드라스 쉬프 피아노 리사이틀 [부산]
제공유형
오프라인
장소
부산문화회관 대극장
기간
2022-11-10~2022-11-10
문의처
마스트미디어 02-541-2512
자세히보기
예매 바로가기"
423,"기타
공연/전시
유료
경북
앙상블 클라비어 힙클 [안동]
제공유형
오프라인
장소
안동문화예술의전당
기간
2022-11-10~2022-11-10
문의처
안동문화예술의전당 054-840-3600
자세히보기
예매 바로가기"
424,"음악/콘서트
공연/전시
유료
서울
한화생명과 함께하는 예술의전당 11시 콘서트 (11월)
제공유형
오프라인
장소
예술의전당 콘서트홀
기간
2022-11-10~2022-11-10
문의처
예술의전당 02-580-1300
자세히보기
예매 바로가기"
425,"뮤지컬/오페라
공연/전시
유료
서울
서울오페라페스티벌, 소리 마녀의 비밀상자
제공유형
오프라인
장소
강동아트센터
기간
2022-11-10~2022-11-10
문의처
강동아트센터 02-440-0500
자세히보기
예매 바로가기"
426,"뮤지컬/오페라
공연/전시
무료
경북
아시아의 세남자 [경주]
제공유형
오프라인
장소
경주예술의전당
기간
2022-11-10~2022-11-10
문의처
010-6625-6996, 010-2398-5509
자세히보기
예매 바로가기"
427,"음악/콘서트
공연/전시
유료
서울
The Class+, 김응수 & 채문영
제공유형
오프라인
장소
신영체임버홀
기간
2022-11-10~2022-11-10
문의처
마스트미디어 02-541-3184
자세히보기
예매 바로가기"
428,"음악/콘서트
공연/전시
유료
부산
안드라스 쉬프 피아노 리사이틀 - 부산
제공유형
오프라인
장소
부산문화회관 대극장
기간
2022-11-10~2022-11-10
문의처
02-541-2512
자세히보기
예매 바로가기"
429,"음악/콘서트
공연/전시
유료
대구
2022 카즈미 타테이시 트리오 내한 공연-지브리, 재즈를 만나다(대구)
제공유형
오프라인
장소
아양아트센터
기간
2022-11-10~2022-11-10
문의처
070-8680-8477
자세히보기
예매 바로가기"
430,"연극
공연/전시
유료
서울
사랑과 전쟁2
제공유형
오프라인
장소
대학로 스튜디오 블루 (구 두레홀 3관)
기간
2021-07-15~2022-11-11
문의처
010-2396-7668
자세히보기
예매 바로가기"
431,"전시
공연/전시
무료
서울
공예로 떠나는 미국 여행
제공유형
오프라인
장소
KCDF 아카이브 센터
기간
2022-10-11~2022-11-11
문의처
02-733-9042
자세히보기"
432,"뮤지컬/오페라
공연/전시
유료
경기
로봇똥 [분당]
제공유형
오프라인
장소
한국잡월드 나래울극장
기간
2022-10-21~2022-11-11
문의처
010-2890-6160
자세히보기
예매 바로가기"
433,"음악/콘서트
공연/전시
유료
경기
김두민 첼로 리사이틀
제공유형
오프라인
장소
성남아트리움 (구 성남시민회관)
기간
2022-11-04~2022-11-11
문의처
성남아트센터 031-783-8000
자세히보기
예매 바로가기"
434,"국악
공연/전시
유료
서울
제3회 ㅊㅊ-하다 페스티벌
제공유형
오프라인
장소
세종문화회관 S씨어터
기간
2022-11-09~2022-11-11
문의처
더원아트코리아 070-5001-0926
자세히보기
예매 바로가기"
435,"무용/발레
공연/전시
유료
서울
collective A, 원형하는 몸: round 1
제공유형
오프라인
장소
국립극장 하늘극장
기간
2022-11-10~2022-11-11
문의처
국립극장 02-2280-4114
자세히보기
예매 바로가기"
436,"음악/콘서트
공연/전시
유료
서울
신인 프랑스 가곡의 밤
제공유형
오프라인
장소
북서울 꿈의숲아트센터
기간
2022-11-11~2022-11-11
문의처
코바기획 070-4110-8290
자세히보기
예매 바로가기"
437,"뮤지컬/오페라
공연/전시
유료
충남
아리아라리
제공유형
오프라인
장소
예산군 문예회관
기간
2022-11-11~2022-11-11
문의처
예산군문예회관 041-339-8211~8214
자세히보기
예매 바로가기"
438,"음악/콘서트
공연/전시
유료
서울
피아니스트 박은희의 초대 II
제공유형
오프라인
장소
예술의전당 인춘아트홀
기간
2022-11-11~2022-11-11
문의처
지클레프 02-515-5123
자세히보기
예매 바로가기"
439,"뮤지컬/오페라
공연/전시
유료
경기
1919
제공유형
오프라인
장소
누림아트홀
기간
2022-11-11~2022-11-11
문의처
누림아트홀 1899-3254
자세히보기
예매 바로가기"
440,"기타
공연/전시
무료
세종
세종메세나 콘서트
제공유형
오프라인
장소
세종 예술의전당
기간
2022-11-11~2022-11-11
문의처
세종시메세나협회 사무국 044-863-3902
자세히보기
예매 바로가기"
441,"음악/콘서트
공연/전시
유료
서울
라비앙 콰르텟 정기연주회
제공유형
오프라인
장소
페리지홀
기간
2022-11-11~2022-11-11
문의처
영음예술기획 02-581-5404
자세히보기
예매 바로가기"
442,"음악/콘서트
공연/전시
유료
충남
더 클래식 콘서트 14, 지역청년음악가들 Ⅱ
제공유형
오프라인
장소
천안예술의전당
기간
2022-11-11~2022-11-11
문의처
천안예술의전당 1566-0155
자세히보기
예매 바로가기"
443,"음악/콘서트
공연/전시
유료
대전
주창회 정기연주회 [대전]
제공유형
오프라인
장소
대전예술의전당
기간
2022-11-11~2022-11-11
문의처
대전예술기획 1544-3751
자세히보기
예매 바로가기"
444,"뮤지컬/오페라
공연/전시
유료
서울
로큰롤 흥부전
제공유형
오프라인
장소
노원문화예술회관
기간
2022-11-11~2022-11-11
문의처
소리 010-6228-6095
자세히보기
예매 바로가기"
445,"뮤지컬/오페라
공연/전시
유료
충남
아가사 [공주]
제공유형
오프라인
장소
공주문예회관
기간
2022-11-11~2022-11-11
문의처
공주문예회관 041-852-0858
자세히보기
예매 바로가기"
446,"음악/콘서트
공연/전시
유료
경남
국립합창단의 흥겨운 합창여행 [의령]
제공유형
오프라인
장소
의령군민문화회관
기간
2022-11-11~2022-11-11
문의처
의령군민문화회관 055-570-4920
자세히보기
예매 바로가기"
447,"기타
공연/전시
유료
강원
음악으로 그리는 일곱 가지 반 고흐, 별이 빛나는 밤에 [속초]
제공유형
오프라인
장소
속초문화예술회관
기간
2022-11-11~2022-11-11
문의처
속초문화예술회관 033-639-2254, 2080
자세히보기
예매 바로가기"
448,"음악/콘서트
공연/전시
유료
서울
구로 클래식 페스타, 더울림앙상블
제공유형
오프라인
장소
구로아트밸리예술극장
기간
2022-11-11~2022-11-11
문의처
구로문화재단 02-2029-1725, 1700
자세히보기
예매 바로가기"
449,"음악/콘서트
공연/전시
유료
서울
쇼팽의 밤
제공유형
오프라인
장소
예술의전당 콘서트홀
기간
2022-11-11~2022-11-11
문의처
영음예술기획 02-581-5404
자세히보기
예매 바로가기"
450,"음악/콘서트
공연/전시
유료
서울
제19회 한국예술가곡보존회 연주회
제공유형
오프라인
장소
세종문화회관 체임버홀
기간
2022-11-11~2022-11-11
문의처
한국예술가곡보존회 050-6789-3733
자세히보기
예매 바로가기"
451,"음악/콘서트
공연/전시
유료
대구
DSAC 로컬 아티스트 프로젝트, 가곡열전
제공유형
오프라인
장소
달서아트센터
기간
2022-11-11~2022-11-11
문의처
달서아트센터 053-584-8719~20
자세히보기
예매 바로가기"
452,"무용/발레
공연/전시
유료
서울
제43회 서울무용제, 개막식 & 무.념.무.상(舞.念.舞.想) Ⅰ
제공유형
오프라인
장소
아르코예술극장 대극장
기간
2022-11-11~2022-11-11
문의처
서울무용제 조직위원회 02-744-8066
자세히보기
예매 바로가기"
